"companyName","licenseNumber","licenseStatus","licenseIssueDate","orderedActivities","detailsLink","subjectOfRegulation","licenseActiveSince","licenseNotActiveSince","status","activitiesServices","description","comments"
"Apola Finance Ltd.","AFSA-LA-2025-0006","active","06-02-2025","Dealing in Investments as Principal;Dealing in Investments as Agent;Advising on Investments;Arranging Deals in Investments;Providing Money Services in relation to Digital Assets","https://publicreg.myafsa.com/licence_details/AFSA-LA-2025-0006/","FinTech Lab Participant","06-02-2025","","active","Dealing in Investments as Principal, Dealing in Investments as Agent, Advising on Investments, Arranging Deals in Investments, Providing Money Services in relation to Digital Assets","","In relation to Digital Assets"
"WhiteBIT Kazakhstan Ltd.","AFSA-A-LA-2025-0003","active","23-01-2025","Dealing in Investments as Agent;Providing Custody;Operating a Digital Asset Trading Facility;Dealing in Investments as Principal (on a matched basis)","https://publicreg.myafsa.com/licence_details/AFSA-A-LA-2025-0003/","FinTech Lab Participant","23-01-2025","","active","Dealing in Investments as Agent, Providing Custody, Operating a Digital Asset Trading Facility, Dealing in Investments as Principal (on a matched basis)","","in relation to Digital Assets"
"Digital Galaxy Ltd.","AFSA-A-LA-2025-0001","active","08-01-2025","Dealing in Investments as Principal;Dealing in Investments as Agent;Arranging Custody","https://publicreg.myafsa.com/licence_details/AFSA-A-LA-2025-0001/","FinTech Lab Participant","08-01-2025","","active","Dealing in Investments as Principal, Dealing in Investments as Agent, Arranging Custody","","in relation to Digital Assets"
"Investment Club BRICS+ Ltd.","AFSA-G-LA-2024-0014","active","11-12-2024","Operating a Loan Crowdfunding Platform;Operating an Investment Crowdfunding Platform","https://publicreg.myafsa.com/licence_details/AFSA-G-LA-2024-0014/","FinTech Lab Participant","11-12-2024","10-12-2026","active","Operating a Loan Crowdfunding Platform, Operating an Investment Crowdfunding Platform","",""
"B-rocker Limited","AFSA-G-LA-2024-0012","active","04-11-2024","Dealing in Investments as Agent","https://publicreg.myafsa.com/licence_details/AFSA-G-LA-2024-0012/","FinTech Lab Participant","04-11-2024","03-11-2026","active","Dealing in Investments as Agent","","Dealing in Investments as Agent in relation to Digital Assets"
"Hardline Holding Limited","AFSA-G-LA-2024-0011","active","31-10-2024","Dealing in Investments as Principal;Dealing in Investments as Agent;Providing Custody","https://publicreg.myafsa.com/licence_details/AFSA-G-LA-2024-0011/","FinTech Lab Participant","31-10-2024","30-10-2026","active","Dealing in Investments as Principal, Dealing in Investments as Agent, Providing Custody","",""
"QazDi Limited","AFSA-G-LA-2024-0010","active","31-10-2024","Providing Custody;Operating a Digital Asset Trading Facility","https://publicreg.myafsa.com/licence_details/AFSA-G-LA-2024-0010/","FinTech Lab Participant","31-10-2024","30-11-2026","active","Providing Custody, Operating a Digital Asset Trading Facility","",""
"Onyx Trade Ltd.","AFSA-G-LA-2024-0009","active","21-08-2024","Operating a Digital Asset Trading Facility;Providing Custody","https://publicreg.myafsa.com/licence_details/AFSA-G-LA-2024-0009/","FinTech Lab Participant","21-08-2024","20-08-2026","active","Operating a Digital Asset Trading Facility, Providing Custody","",""
"Neyco Ltd.","AFSA-G-LA-2024-0008","active","15-07-2024","Providing Custody;Operating a Digital Asset Trading Facility;Dealing in Investments as Agent;Dealing in Investments as Principal (as a matched principal)","https://publicreg.myafsa.com/licence_details/AFSA-G-LA-2024-0008/","FinTech Lab Participant","15-07-2024","14-07-2026","active","Providing Custody, Operating a Digital Asset Trading Facility, Dealing in Investments as Agent, Dealing in Investments as Principal (as a matched principal)","",""
"Impact Capital Ltd.","AFSA-G-LA-2024-0004","active","16-05-2024","Dealing in Investments as Agent;Dealing in Investments as Principal (as a matched principal);Providing Custody","https://publicreg.myafsa.com/licence_details/AFSA-G-LA-2024-0004/","FinTech Lab Participant","16-05-2024","15-05-2026","active","Dealing in Investments as Agent, Dealing in Investments as Principal (as a matched principal), Providing Custody","",""
